# V.34 Phase 3 baseband IQ symbols
# sym_rate=3000  fc=2000  t0=6.0  t1=8.5
# columns: sym_idx  time_ms  I  Q  s_score  pp_score  label
     0      0.000  -0.002689  +0.003369  0.000  0.000  T
     1      0.333  +0.002685  +0.001196  0.000  0.000  T
     2      0.667  -0.000099  -0.002482  0.000  0.000  T
     3      1.000  +0.000209  +0.000893  0.000  0.000  T
     4      1.333  -0.000479  -0.000724  0.000  0.000  T
     5      1.667  +0.000370  +0.000431  0.000  0.000  T
     6      2.000  -0.000439  +0.000209  0.000  0.000  T
     7      2.333  +0.000913  -0.000472  0.000  0.000  T
     8      2.667  -0.000945  -0.000833  0.000  0.000  T
     9      3.000  -0.000469  +0.001437  0.000  0.000  T
    10      3.333  +0.000494  +0.000129  0.000  0.000  T
    11      3.667  +0.000478  -0.000213  0.000  0.000  T
    12      4.000  +0.000526  -0.000519  0.000  0.000  T
    13      4.333  -0.001027  -0.000109  0.000  0.000  T
    14      4.667  +0.000040  +0.000217  0.000  0.000  T
    15      5.000  +0.000143  -0.000218  0.000  0.000  T
    16      5.333  -0.000134  +0.000799  0.000  0.000  T
    17      5.667  +0.000206  -0.000699  0.000  0.000  T
    18      6.000  -0.000107  +0.000340  0.000  0.000  T
    19      6.333  -0.000171  -0.000324  0.000  0.000  T
    20      6.667  +0.000151  +0.000857  0.000  0.000  T
    21      7.000  +0.000614  -0.000740  0.000  0.000  T
    22      7.333  -0.000328  +0.000009  0.000  0.000  T
    23      7.667  -0.000033  -0.000490  0.000  0.000  T
    24      8.000  -0.000719  +0.000463  0.000  0.000  T
    25      8.333  +0.000082  +0.000322  0.000  0.000  T
    26      8.667  +0.000018  -0.000215  0.000  0.000  T
    27      9.000  +0.001661  +0.000688  0.000  0.000  T
    28      9.333  -0.001641  -0.000422  0.000  0.000  T
    29      9.667  +0.000995  -0.000694  0.000  0.000  T
    30     10.000  -0.000582  +0.000288  0.000  0.000  T
    31     10.333  +0.000185  +0.000142  0.000  0.000  T
    32     10.667  -0.000727  -0.000364  0.234  0.000  T
    33     11.000  +0.000691  +0.000273  0.234  0.000  T
    34     11.333  +0.000142  +0.000529  0.234  0.000  T
    35     11.667  -0.000576  -0.000493  0.234  0.000  T
    36     12.000  +0.000619  -0.000115  0.234  0.000  T
    37     12.333  -0.000212  -0.000380  0.234  0.000  T
    38     12.667  -0.000878  +0.000383  0.234  0.000  T
    39     13.000  +0.000785  +0.000695  0.234  0.000  T
    40     13.333  +0.000116  -0.000393  0.219  0.000  T
    41     13.667  -0.000497  -0.000040  0.219  0.000  T
    42     14.000  +0.000916  +0.000134  0.203  0.000  T
    43     14.333  -0.000579  -0.000227  0.203  0.000  T
    44     14.667  +0.000365  -0.000242  0.203  0.000  T
    45     15.000  -0.000449  +0.000067  0.203  0.000  T
    46     15.333  -0.000553  +0.000543  0.188  0.000  T
    47     15.667  +0.001050  -0.000534  0.203  0.000  T
    48     16.000  -0.000231  +0.000602  0.203  0.000  T
    49     16.333  +0.000160  -0.000630  0.203  0.000  T
    50     16.667  -0.000132  +0.000070  0.203  0.000  T
    51     17.000  -0.000231  +0.000073  0.203  0.000  T
    52     17.333  +0.000253  -0.000404  0.203  0.000  T
    53     17.667  -0.000833  -0.000244  0.203  0.000  T
    54     18.000  +0.000256  +0.001240  0.203  0.000  T
    55     18.333  +0.000448  -0.000245  0.203  0.000  T
    56     18.667  -0.000187  -0.000249  0.203  0.000  T
    57     19.000  +0.000207  +0.000344  0.188  0.000  T
    58     19.333  +0.000137  -0.000451  0.188  0.000  T
    59     19.667  +0.000388  +0.000139  0.188  0.000  T
    60     20.000  -0.000633  +0.000130  0.188  0.000  T
    61     20.333  +0.000298  -0.001132  0.188  0.000  T
    62     20.667  -0.000637  +0.000571  0.188  0.000  T
    63     21.000  -0.000151  +0.000471  0.188  0.000  T
    64     21.333  +0.000553  +0.000345  0.188  0.000  T
    65     21.667  +0.000154  -0.000517  0.188  0.000  T
    66     22.000  -0.000906  +0.000199  0.188  0.000  T
    67     22.333  +0.000866  -0.000691  0.188  0.000  T
    68     22.667  +0.000104  +0.001028  0.188  0.000  T
    69     23.000  -0.000693  +0.000335  0.172  0.000  T
    70     23.333  +0.000632  -0.001171  0.156  0.000  T
    71     23.667  +0.000587  +0.000373  0.141  0.000  T
    72     24.000  -0.000733  -0.000367  0.141  0.000  T
    73     24.333  -0.000146  +0.000169  0.125  0.000  T
    74     24.667  -0.000138  +0.000395  0.125  0.000  T
    75     25.000  +0.000728  -0.000172  0.125  0.000  T
    76     25.333  -0.000681  -0.000174  0.141  0.000  T
    77     25.667  +0.000646  -0.000317  0.156  0.000  T
    78     26.000  -0.001145  +0.000076  0.156  0.000  T
    79     26.333  +0.000196  +0.000391  0.156  0.000  T
    80     26.667  +0.000771  +0.000606  0.156  0.000  T
    81     27.000  -0.000698  -0.000577  0.156  0.000  T
    82     27.333  +0.000505  -0.000298  0.156  0.000  T
    83     27.667  +0.000212  +0.000641  0.156  0.000  T
    84     28.000  -0.000229  -0.000241  0.156  0.000  T
    85     28.333  +0.000148  -0.000674  0.141  0.000  T
    86     28.667  -0.000821  +0.000436  0.141  0.000  T
    87     29.000  +0.000762  -0.000038  0.125  0.000  T
    88     29.333  -0.000596  +0.001066  0.109  0.000  T
    89     29.667  +0.000985  -0.001014  0.109  0.000  T
    90     30.000  +0.000184  +0.000196  0.109  0.000  T
    91     30.333  -0.001432  -0.001092  0.109  0.000  T
    92     30.667  +0.001066  +0.002119  0.109  0.000  T
    93     31.000  -0.000388  -0.001950  0.125  0.000  T
    94     31.333  +0.000171  +0.000533  0.125  0.000  T
    95     31.667  -0.000303  +0.000342  0.125  0.000  T
    96     32.000  -0.000086  -0.000211  0.109  0.000  T
    97     32.333  +0.000044  +0.000458  0.094  0.000  T
    98     32.667  +0.000189  -0.000408  0.094  0.000  T
    99     33.000  +0.000335  -0.000206  0.094  0.000  T
   100     33.333  -0.000381  +0.000760  0.094  0.000  T
   101     33.667  -0.000377  -0.000681  0.094  0.000  T
   102     34.000  +0.000947  +0.000468  0.094  0.000  T
   103     34.333  -0.000652  -0.000544  0.094  0.000  T
   104     34.667  -0.000214  +0.000227  0.094  0.000  T
   105     35.000  +0.000667  +0.000173  0.078  0.000  T
   106     35.333  -0.000154  +0.000116  0.078  0.000  T
   107     35.667  -0.000017  -0.000675  0.078  0.000  T
   108     36.000  -0.000759  +0.000295  0.078  0.000  T
   109     36.333  +0.000290  +0.000736  0.078  0.000  T
   110     36.667  +0.000519  -0.000629  0.078  0.000  T
   111     37.000  -0.000145  +0.000482  0.062  0.000  T
   112     37.333  +0.000210  -0.000525  0.062  0.000  T
   113     37.667  -0.000061  +0.000299  0.078  0.000  T
   114     38.000  +0.000402  -0.000599  0.078  0.000  T
   115     38.333  -0.000427  -0.000043  0.078  0.000  T
   116     38.667  -0.001490  +0.000588  0.078  0.000  T
   117     39.000  +0.001880  -0.000275  0.078  0.000  T
   118     39.333  -0.000144  +0.000080  0.078  0.000  T
   119     39.667  -0.000671  -0.000241  0.078  0.000  T
   120     40.000  +0.000243  +0.000364  0.094  0.000  T
   121     40.333  -0.000127  -0.000161  0.109  0.000  T
   122     40.667  -0.000290  -0.000125  0.109  0.000  T
   123     41.000  +0.000412  +0.000545  0.109  0.000  T
   124     41.333  -0.000061  -0.000179  0.125  0.000  T
   125     41.667  -0.000119  +0.000048  0.125  0.000  T
   126     42.000  -0.000201  -0.000427  0.125  0.000  T
   127     42.333  +0.001033  +0.000858  0.141  0.000  T
   128     42.667  -0.000461  -0.000202  0.141  0.000  T
   129     43.000  -0.000176  -0.001113  0.141  0.000  T
   130     43.333  +0.000766  +0.000673  0.141  0.000  T
   131     43.667  -0.001143  +0.000154  0.141  0.000  T
   132     44.000  +0.000752  -0.000288  0.141  0.000  T
   133     44.333  -0.000539  -0.000405  0.141  0.000  T
   134     44.667  +0.000336  +0.000167  0.156  0.000  T
   135     45.000  -0.000572  +0.000067  0.156  0.000  T
   136     45.333  -0.000407  +0.000941  0.141  0.000  T
   137     45.667  +0.000775  -0.000604  0.156  0.000  T
   138     46.000  +0.000740  +0.000238  0.156  0.000  T
   139     46.333  -0.001177  -0.000181  0.156  0.000  T
   140     46.667  +0.000609  -0.000681  0.156  0.000  T
   141     47.000  -0.000200  +0.001354  0.141  0.000  T
   142     47.333  +0.000295  -0.000840  0.156  0.000  T
   143     47.667  -0.000141  -0.000184  0.172  0.000  T
   144     48.000  -0.000186  +0.000033  0.172  0.000  T
   145     48.333  +0.000012  +0.000251  0.172  0.000  T
   146     48.667  -0.000275  +0.000405  0.188  0.000  T
   147     49.000  +0.000604  -0.000397  0.188  0.000  T
   148     49.333  +0.000105  +0.000109  0.188  0.000  T
   149     49.667  -0.000315  -0.000271  0.203  0.000  T
   150     50.000  +0.000079  -0.000392  0.203  0.000  T
   151     50.333  -0.000746  +0.000577  0.219  0.000  T
   152     50.667  +0.000774  +0.000417  0.219  0.000  T
   153     51.000  +0.000264  -0.000877  0.219  0.000  T
   154     51.333  -0.000822  +0.000471  0.219  0.000  T
   155     51.667  +0.000438  +0.000043  0.219  0.000  T
   156     52.000  -0.000009  -0.000063  0.219  0.000  T
   157     52.333  +0.000029  -0.000172  0.219  0.000  T
   158     52.667  -0.000027  +0.000135  0.234  0.000  T
   159     53.000  +0.000425  +0.000087  0.250  0.000  T
   160     53.333  -0.000898  -0.000156  0.266  0.000  T
   161     53.667  +0.000363  -0.000255  0.266  0.000  T
   162     54.000  +0.000347  +0.000467  0.266  0.000  T
   163     54.333  -0.000411  -0.000224  0.266  0.000  T
   164     54.667  -0.000034  -0.000018  0.266  0.000  T
   165     55.000  -0.000235  +0.000097  0.266  0.000  T
   166     55.333  +0.000366  +0.000922  0.266  0.000  T
   167     55.667  +0.000640  -0.001453  0.266  0.000  T
   168     56.000  -0.000712  +0.000467  0.266  0.000  T
   169     56.333  +0.000252  +0.000531  0.266  0.000  T
   170     56.667  +0.000133  -0.000735  0.266  0.000  T
   171     57.000  -0.000006  -0.000079  0.266  0.000  T
   172     57.333  -0.001014  +0.000021  0.266  0.000  T
   173     57.667  +0.000967  +0.000963  0.266  0.000  T
   174     58.000  +0.000202  -0.000426  0.266  0.000  T
   175     58.333  -0.000683  -0.000612  0.266  0.000  T
   176     58.667  +0.000566  +0.000081  0.266  0.000  T
   177     59.000  -0.000530  +0.000408  0.250  0.000  T
   178     59.333  +0.000105  +0.000226  0.250  0.000  T
   179     59.667  +0.000064  -0.000859  0.250  0.000  T
   180     60.000  -0.000103  +0.000795  0.250  0.000  T
   181     60.333  +0.000402  +0.000063  0.250  0.000  T
   182     60.667  -0.000283  -0.000320  0.250  0.000  T
   183     61.000  -0.000031  +0.000019  0.250  0.000  T
   184     61.333  +0.000809  -0.000049  0.234  0.000  T
   185     61.667  -0.000887  -0.000318  0.219  0.000  T
   186     62.000  -0.000217  -0.000258  0.219  0.000  T
   187     62.333  +0.000148  +0.001021  0.219  0.000  T
   188     62.667  +0.000164  -0.000257  0.203  0.000  T
   189     63.000  -0.000044  -0.000036  0.203  0.000  T
   190     63.333  -0.000185  +0.000183  0.203  0.000  T
   191     63.667  +0.000690  +0.000257  0.188  0.000  T
   192     64.000  +0.000360  -0.000951  0.203  0.000  T
   193     64.333  -0.000471  +0.000494  0.203  0.000  T
   194     64.667  -0.000507  -0.000503  0.203  0.000  T
   195     65.000  -0.000236  +0.000058  0.203  0.000  T
   196     65.333  +0.000450  +0.000069  0.203  0.000  T
   197     65.667  +0.000467  +0.000854  0.203  0.000  T
   198     66.000  -0.001017  -0.000663  0.188  0.007  T
   199     66.333  +0.000592  -0.000642  0.188  0.007  T
   200     66.667  -0.000267  +0.001176  0.188  0.007  T
   201     67.000  +0.000114  +0.000206  0.172  0.007  T
   202     67.333  +0.000257  -0.001379  0.188  0.007  T
   203     67.667  +0.000110  +0.000941  0.188  0.007  T
   204     68.000  -0.000278  +0.000384  0.172  0.007  T
   205     68.333  -0.000099  -0.001191  0.188  0.007  T
   206     68.667  +0.000262  +0.000513  0.172  0.007  T
   207     69.000  -0.000382  +0.000420  0.156  0.007  T
   208     69.333  +0.000622  -0.000141  0.156  0.007  T
   209     69.667  -0.000221  +0.000298  0.172  0.007  T
   210     70.000  +0.000273  -0.001113  0.156  0.015  T
   211     70.333  -0.000428  +0.000474  0.156  0.015  T
   212     70.667  +0.000003  -0.000005  0.156  0.015  T
   213     71.000  -0.000033  -0.000412  0.156  0.015  T
   214     71.333  -0.000289  -0.000119  0.156  0.015  T
   215     71.667  +0.000146  +0.000840  0.141  0.015  T
   216     72.000  -0.000888  +0.000106  0.141  0.015  T
   217     72.333  +0.001500  +0.000596  0.141  0.015  T
   218     72.667  -0.000531  -0.001160  0.141  0.015  T
   219     73.000  +0.000533  +0.000701  0.141  0.015  T
   220     73.333  -0.000811  -0.000430  0.141  0.015  T
   221     73.667  +0.000868  +0.000114  0.141  0.015  T
   222     74.000  -0.000545  +0.000126  0.125  0.012  T
   223     74.333  +0.000573  -0.000396  0.109  0.012  T
   224     74.667  -0.000502  -0.000344  0.109  0.012  T
   225     75.000  -0.000115  +0.000967  0.125  0.012  T
   226     75.333  -0.000382  -0.000269  0.109  0.012  T
   227     75.667  +0.001038  -0.000647  0.109  0.012  T
   228     76.000  -0.000365  +0.000419  0.109  0.012  T
   229     76.333  -0.000515  +0.000136  0.109  0.012  T
   230     76.667  +0.000172  -0.000208  0.109  0.012  T
   231     77.000  +0.000451  +0.000157  0.109  0.012  T
   232     77.333  -0.000161  -0.000084  0.109  0.012  T
   233     77.667  -0.000190  -0.000617  0.109  0.012  T
   234     78.000  -0.000623  +0.000329  0.109  0.009  T
   235     78.333  +0.000532  +0.000028  0.109  0.009  T
   236     78.667  -0.000326  +0.000096  0.109  0.009  T
   237     79.000  +0.000081  +0.000820  0.109  0.009  T
   238     79.333  +0.000103  -0.000200  0.109  0.009  T
   239     79.667  +0.000493  -0.000354  0.109  0.009  T
   240     80.000  -0.000222  +0.000052  0.109  0.009  T
   241     80.333  +0.000136  +0.000405  0.109  0.009  T
   242     80.667  -0.000478  +0.000408  0.109  0.009  T
   243     81.000  +0.001590  +0.000107  0.109  0.009  T
   244     81.333  +0.000510  -0.000059  0.109  0.009  T
   245     81.667  -0.001102  -0.002046  0.109  0.009  T
   246     82.000  -0.000434  +0.000968  0.109  0.006  T
   247     82.333  +0.000501  -0.000218  0.109  0.006  T
   248     82.667  -0.001224  +0.000083  0.109  0.006  T
   249     83.000  +0.000712  -0.000083  0.109  0.006  T
   250     83.333  -0.000550  +0.000496  0.109  0.006  T
   251     83.667  +0.000198  -0.001014  0.109  0.006  T
   252     84.000  -0.000252  -0.001042  0.109  0.006  T
   253     84.333  -0.000908  +0.000656  0.109  0.006  T
   254     84.667  -0.000266  +0.000504  0.109  0.006  T
   255     85.000  +0.000640  -0.001722  0.109  0.006  T
   256     85.333  -0.001236  +0.001292  0.094  0.006  T
   257     85.667  -0.000317  -0.000231  0.094  0.006  T
   258     86.000  +0.000869  +0.000990  0.094  0.003  T
   259     86.333  -0.000062  +0.001459  0.094  0.003  T
   260     86.667  +0.001092  +0.000146  0.094  0.003  T
   261     87.000  +0.000669  +0.001468  0.094  0.003  T
   262     87.333  +0.001399  +0.000833  0.094  0.003  T
   263     87.667  +0.000757  +0.001038  0.094  0.003  T
   264     88.000  +0.001455  +0.001624  0.094  0.003  T
   265     88.333  +0.001886  -0.000310  0.094  0.003  T
   266     88.667  +0.000944  -0.000073  0.078  0.003  T
   267     89.000  +0.000612  -0.000475  0.078  0.003  T
   268     89.333  +0.000283  -0.001016  0.078  0.003  T
   269     89.667  +0.000029  -0.003005  0.062  0.003  T
   270     90.000  -0.001349  -0.004081  0.062  0.000  T
   271     90.333  -0.002978  -0.003146  0.078  0.000  T
   272     90.667  -0.004526  -0.004186  0.078  0.000  T
   273     91.000  -0.003480  -0.004508  0.078  0.000  T
   274     91.333  -0.004751  -0.002979  0.078  0.000  T
   275     91.667  -0.005420  -0.003546  0.078  0.000  T
   276     92.000  -0.004833  -0.001016  0.078  0.000  T
   277     92.333  -0.004885  +0.000915  0.062  0.000  T
   278     92.667  -0.001862  +0.003791  0.062  0.000  T
   279     93.000  -0.000007  +0.006665  0.062  0.000  T
   280     93.333  +0.002430  +0.009405  0.062  0.000  T
   281     93.667  +0.006901  +0.012952  0.078  0.000  T
   282     94.000  +0.008800  +0.014516  0.078  0.000  T
   283     94.333  +0.014834  +0.015009  0.078  0.000  T
   284     94.667  +0.016290  +0.015578  0.078  0.000  T
   285     95.000  +0.018903  +0.012997  0.078  0.000  T
   286     95.333  +0.018212  +0.006997  0.078  0.000  T
   287     95.667  +0.018342  +0.000413  0.078  0.000  T
   288     96.000  +0.011043  -0.009690  0.078  0.000  T
   289     96.333  +0.005345  -0.022252  0.062  0.000  T
   290     96.667  -0.008734  -0.035707  0.078  0.000  T
   291     97.000  -0.016970  -0.050087  0.078  0.000  T
   292     97.333  -0.043467  -0.067801  0.078  0.000  T
   293     97.667  -0.045316  -0.077522  0.078  0.000  T
   294     98.000  -0.096424  -0.098885  0.078  0.000  T
   295     98.333  -0.064184  -0.089863  0.078  0.000  T
   296     98.667  -0.178477  -0.156195  0.094  0.000  T
   297     99.000  +0.178521  +0.306666  0.094  0.000  T
   298     99.333  -0.606683  +1.370388  0.094  0.000  T
   299     99.667  +0.910986  -0.560943  0.094  0.000  T
   300    100.000  +0.539317  -0.642686  0.094  0.000  T
   301    100.333  -0.384756  +0.236880  0.094  0.000  T
   302    100.667  +0.008825  -0.210494  0.094  0.000  T
   303    101.000  -0.116423  +0.041695  0.094  0.000  T
   304    101.333  -0.048124  -0.139445  0.094  0.000  T
   305    101.667  -0.161943  +0.071296  0.094  0.000  T
   306    102.000  +0.014426  -0.074472  0.094  0.000  T
   307    102.333  -0.028509  +0.069468  0.094  0.000  T
   308    102.667  -0.061196  -0.029861  0.094  0.000  T
   309    103.000  +0.056203  +0.048372  0.094  0.000  T
   310    103.333  -0.048703  +0.026423  0.094  0.000  T
   311    103.667  +0.079236  -0.037718  0.094  0.000  T
   312    104.000  -0.036069  +0.042107  0.094  0.000  T
   313    104.333  +0.039014  +0.023222  0.109  0.000  T
   314    104.667  -0.002279  -0.022242  0.109  0.000  T
   315    105.000  +0.020162  +0.021169  0.109  0.000  T
   316    105.333  -0.035747  +0.056260  0.109  0.000  T
   317    105.667  +0.051864  -0.030944  0.125  0.000  T
   318    106.000  +0.054488  +0.024623  0.125  0.000  T
   319    106.333  -0.059884  -0.037287  0.141  0.000  T
   320    106.667  +0.076767  +0.012950  0.156  0.000  T
   321    107.000  -0.039742  -0.042642  0.156  0.000  T
   322    107.333  -0.004070  +0.008062  0.156  0.000  T
   323    107.667  -0.045648  -0.032601  0.156  0.000  T
   324    108.000  -0.018403  -0.022230  0.172  0.000  T
   325    108.333  +0.020170  +0.094030  0.172  0.000  T
   326    108.667  -0.003679  -0.034272  0.172  0.000  T
   327    109.000  -0.008940  -0.001172  0.172  0.000  T
   328    109.333  +0.007899  +0.034454  0.172  0.000  T
   329    109.667  +0.033210  -0.039794  0.172  0.000  T
   330    110.000  -0.003965  -0.000237  0.172  0.000  T
   331    110.333  -0.006612  -0.015852  0.172  0.000  T
   332    110.667  +0.005403  -0.018782  0.172  0.000  T
   333    111.000  -0.056443  +0.026895  0.172  0.000  T
   334    111.333  +0.050101  -0.016773  0.172  0.000  T
   335    111.667  -0.037249  +0.022613  0.156  0.000  T
   336    112.000  +0.008867  -0.002837  0.156  0.000  T
   337    112.333  +0.007619  +0.019543  0.141  0.000  T
   338    112.667  -0.018003  -0.013474  0.141  0.000  T
   339    113.000  +0.032046  +0.019188  0.141  0.000  T
   340    113.333  +0.024865  +0.018632  0.141  0.000  T
   341    113.667  -0.014322  -0.048279  0.141  0.000  T
   342    114.000  +0.006249  +0.028816  0.141  0.000  T
   343    114.333  +0.009309  -0.009746  0.141  0.000  T
   344    114.667  -0.014126  -0.038709  0.141  0.000  T
   345    115.000  +0.005430  -0.004148  0.125  0.000  T
   346    115.333  -0.034609  -0.000670  0.125  0.000  T
   347    115.667  -0.044466  +0.062876  0.125  0.000  T
   348    116.000  +0.059821  +0.011124  0.125  0.000  T
   349    116.333  -0.004349  -0.058046  0.125  0.000  T
   350    116.667  +0.002125  +0.053471  0.125  0.000  T
   351    117.000  +0.027136  -0.011312  0.125  0.000  T
   352    117.333  -0.009245  -0.015209  0.125  0.000  T
   353    117.667  -0.000717  -0.045930  0.125  0.000  T
   354    118.000  -0.022187  +0.018299  0.109  0.000  T
   355    118.333  -0.023819  +0.019718  0.125  0.000  T
   356    118.667  +0.020297  +0.021424  0.141  0.000  T
   357    119.000  -0.001584  -0.026985  0.156  0.000  T
   358    119.333  +0.016207  +0.008266  0.172  0.000  T
   359    119.667  -0.012905  +0.015682  0.156  0.000  T
   360    120.000  +0.002783  -0.001240  0.141  0.000  T
   361    120.333  +0.019947  -0.001143  0.156  0.000  T
   362    120.667  +0.021663  -0.052245  0.156  0.000  T
   363    121.000  -0.034870  +0.018377  0.156  0.000  T
   364    121.333  -0.013808  +0.007810  0.156  0.000  T
   365    121.667  -0.002045  -0.000972  0.156  0.000  T
   366    122.000  -0.015642  -0.001282  0.156  0.000  T
   367    122.333  +0.025067  +0.017951  0.156  0.000  T
   368    122.667  +0.001546  +0.011469  0.156  0.000  T
   369    123.000  -0.013535  +0.000880  0.156  0.000  T
   370    123.333  +0.049240  +0.024690  0.156  0.000  T
   371    123.667  +0.000925  -0.087197  0.156  0.000  T
   372    124.000  -0.031017  +0.046061  0.156  0.000  T
   373    124.333  +0.000114  -0.008057  0.156  0.000  T
   374    124.667  -0.000406  +0.000504  0.156  0.000  T
   375    125.000  +0.010177  -0.002112  0.156  0.000  T
   376    125.333  -0.001106  +0.009131  0.172  0.000  T
   377    125.667  -0.048332  -0.010568  0.172  0.000  T
   378    126.000  +0.010477  +0.015989  0.172  0.000  T
   379    126.333  +0.036293  +0.017379  0.172  0.000  T
   380    126.667  -0.013904  +0.002828  0.156  0.000  T
   381    127.000  +0.023828  -0.006233  0.141  0.000  T
   382    127.333  +0.015587  -0.026405  0.141  0.000  T
   383    127.667  -0.025652  +0.001868  0.125  0.000  T
   384    128.000  -0.040420  -0.028815  0.141  0.000  T
   385    128.333  +0.047614  +0.026012  0.141  0.000  T
   386    128.667  -0.035356  -0.015279  0.141  0.000  T
   387    129.000  -0.016206  +0.043128  0.156  0.000  T
   388    129.333  +0.033949  +0.015124  0.156  0.000  T
   389    129.667  +0.024981  -0.038667  0.156  0.000  T
   390    130.000  -0.035535  -0.011418  0.156  0.000  T
   391    130.333  -0.003545  -0.000788  0.156  0.000  T
   392    130.667  +0.010761  +0.038187  0.156  0.000  T
   393    131.000  +0.025501  -0.010955  0.156  0.000  T
   394    131.333  -0.031495  -0.021711  0.156  0.000  T
   395    131.667  +0.045662  +0.021927  0.156  0.000  T
   396    132.000  -0.033211  -0.055728  0.156  0.000  T
   397    132.333  -0.012105  +0.036379  0.156  0.000  T
   398    132.667  -0.005293  -0.000464  0.156  0.000  T
   399    133.000  +0.031059  +0.004719  0.156  0.000  T
   400    133.333  -0.034579  +0.026842  0.156  0.000  T
   401    133.667  +0.038462  -0.031576  0.141  0.000  T
   402    134.000  -0.025167  +0.010994  0.141  0.005  T
   403    134.333  -0.002033  +0.013023  0.156  0.005  T
   404    134.667  +0.029893  -0.051054  0.156  0.005  T
   405    135.000  -0.020751  +0.060169  0.156  0.005  T
   406    135.333  -0.017526  -0.012228  0.156  0.005  T
   407    135.667  +0.004233  -0.015399  0.156  0.005  T
   408    136.000  -0.003795  -0.001784  0.156  0.005  T
   409    136.333  +0.044311  +0.033130  0.156  0.005  T
   410    136.667  -0.025570  -0.018457  0.172  0.005  T
   411    137.000  +0.008640  -0.017738  0.188  0.005  T
   412    137.333  +0.010189  -0.001733  0.188  0.005  T
   413    137.667  -0.022812  +0.003159  0.188  0.005  T
   414    138.000  -0.022751  -0.028290  0.188  0.006  T
   415    138.333  +0.021294  +0.027142  0.188  0.006  T
   416    138.667  -0.026900  +0.038350  0.188  0.006  T
   417    139.000  +0.039770  -0.046464  0.188  0.006  T
   418    139.333  +0.002688  +0.013019  0.188  0.006  T
   419    139.667  -0.037886  +0.028565  0.172  0.006  T
   420    140.000  +0.030053  -0.034890  0.172  0.006  T
   421    140.333  -0.005404  -0.004136  0.172  0.006  T
   422    140.667  +0.004111  +0.003855  0.172  0.006  T
   423    141.000  -0.010183  +0.018655  0.172  0.006  T
   424    141.333  +0.009527  -0.000750  0.188  0.006  T
   425    141.667  +0.012420  -0.028250  0.172  0.006  T
   426    142.000  -0.017222  +0.004712  0.172  0.005  T
   427    142.333  -0.016976  +0.002260  0.172  0.005  T
   428    142.667  -0.000755  +0.002708  0.172  0.005  T
   429    143.000  -0.000873  +0.044997  0.172  0.005  T
   430    143.333  +0.029696  +0.026550  0.172  0.005  T
   431    143.667  +0.042335  -0.060019  0.172  0.005  T
   432    144.000  -0.017529  -0.000830  0.188  0.005  T
   433    144.333  -0.016838  -0.039139  0.188  0.005  T
   434    144.667  -0.006841  -0.005061  0.203  0.005  T
   435    145.000  -0.019215  +0.018554  0.219  0.005  T
   436    145.333  -0.026736  +0.016057  0.234  0.005  T
   437    145.667  -0.023864  +0.014434  0.234  0.005  T
   438    146.000  +0.045505  +0.023198  0.234  0.009  T
   439    146.333  +0.036323  +0.006526  0.250  0.009  T
   440    146.667  -0.024243  -0.024422  0.250  0.009  T
   441    147.000  +0.010038  +0.009035  0.266  0.009  T
   442    147.333  +0.028924  -0.013350  0.266  0.009  T
   443    147.667  -0.006132  -0.024442  0.266  0.009  T
   444    148.000  -0.052469  -0.032399  0.281  0.009  T
   445    148.333  +0.001431  +0.026464  0.281  0.009  T
   446    148.667  +0.003746  +0.037134  0.281  0.009  T
   447    149.000  -0.010692  -0.014707  0.297  0.009  T
   448    149.333  +0.034011  -0.018285  0.297  0.009  T
   449    149.667  -0.059079  +0.061645  0.297  0.009  T
   450    150.000  +0.045911  -0.018955  0.297  0.000  T
   451    150.333  +0.046360  +0.023161  0.297  0.000  T
   452    150.667  +0.038068  -0.031704  0.297  0.000  T
   453    151.000  -0.043279  -0.086179  0.281  0.000  T
   454    151.333  -0.030546  +0.018306  0.281  0.000  T
   455    151.667  -0.058684  +0.022631  0.281  0.000  T
   456    152.000  -0.000697  +0.022566  0.281  0.000  T
   457    152.333  +0.039986  +0.037591  0.281  0.000  T
   458    152.667  -0.000343  -0.004198  0.297  0.000  T
   459    153.000  +0.026315  -0.001532  0.312  0.000  T
   460    153.333  +0.011453  +0.025832  0.297  0.000  T
   461    153.667  +0.018528  -0.051796  0.297  0.000  T
   462    154.000  +0.002376  -0.054999  0.312  0.000  T
   463    154.333  -0.059771  +0.028155  0.297  0.000  T
   464    154.667  +0.000842  +0.017535  0.297  0.000  T
   465    155.000  -0.008561  -0.010746  0.297  0.000  T
   466    155.333  -0.030928  +0.047432  0.297  0.000  T
   467    155.667  +0.060900  +0.034147  0.281  0.000  T
   468    156.000  +0.036117  -0.074350  0.281  0.000  T
   469    156.333  -0.083568  +0.010938  0.281  0.000  T
   470    156.667  +0.060470  +0.045038  0.281  0.000  T
   471    157.000  +0.032151  -0.024219  0.281  0.000  T
   472    157.333  -0.017273  -0.052829  0.281  0.000  T
   473    157.667  -0.028286  +0.015892  0.281  0.000  T
   474    158.000  -0.035010  -0.058524  0.266  0.000  T
   475    158.333  -0.038564  +0.059685  0.250  0.000  T
   476    158.667  +0.060664  +0.063044  0.250  0.000  T
   477    159.000  -0.019239  -0.001296  0.266  0.000  T
   478    159.333  +0.027080  -0.015143  0.266  0.000  T
